"date","venue"
"June 19, 1976","Capitol Theatre"
"June 21, 1976","Tower Theatre"
"June 22, 1976","Tower Theatre"
"June 23, 1976","Tower Theatre"
"June 24, 1976","Tower Theatre"
"June 26, 1976","Auditorium Theater"
"June 27, 1976","Auditorium Theater"
"June 28, 1976","Auditorium Theater"
"June 29, 1976","Auditorium Theater"
"July 12, 1976","Orpheum Theatre"
"July 13, 1976","Orpheum Theatre"
"July 14, 1976","Orpheum Theatre"
"July 16, 1976","Orpheum Theatre"
"July 17, 1976","Orpheum Theatre"
"July 18, 1976","Orpheum Theatre"
"August 2, 1976","Colt Park"
"August 4, 1976","Roosevelt Stadium"
"September 23, 1976","Cameron Indoor Stadium"
"September 24, 1976","College Of William and Mary"
"September 25, 1976","Capital Centre"
"September 27, 1976","Community War Memorial"
"September 28, 1976","Onondaga County War Memorial"
"September 30, 1976","St. John Arena"
"October 1, 1976","Market Square Arena"
"October 2, 1976","River Front Coliseum"
"October 3, 1976","Cobo Arena"
"October 9, 1976","Oakland Coliseum Stadium"
"October 10, 1976","Oakland Coliseum Stadium"
"October 14, 1976","Shrine Auditorium"
"October 15, 1976","Shrine Auditorium"
"December 31, 1976","Cow Palace"
"February 26, 1977","Swing Auditorium"
"February 27, 1977","Robertson Gym"
"March 18, 1977","Winterland Arena"
"March 19, 1977","Winterland Arena"
"March 20, 1977","Winterland Arena"
"April 22, 1977","The Spectrum"
"April 23, 1977","Springfield Civic Center Arena"
"April 25, 1977","Capitol Theatre"
"April 26, 1977","Capitol Theatre"
"April 27, 1977","Capitol Theatre"
"April 29, 1977","The Palladium"
"April 30, 1977","The Palladium"
"May 1, 1977","The Palladium"
"May 3, 1977","The Palladium"
"May 4, 1977","The Palladium"
"May 5, 1977","Veterans Memorial Coliseum"
"May 7, 1977","Boston Garden"
"May 8, 1977","Barton Hall"
"May 9, 1977","War Memorial Auditorium"
"May 11, 1977","St. Paul Civic Center Arena"
"May 12, 1977","Auditorium Theater"
"May 13, 1977","Auditorium Theater"
"May 15, 1977","St. Louis Arena"
"May 17, 1977","Memorial Coliseum"
"May 18, 1977","Fox Theatre"
"May 19, 1977","Fox Theatre"
"May 21, 1977","Lakeland Civic Center Arena"
"May 22, 1977","Sportatorium"
"May 25, 1977","The Mosque"
"May 26, 1977","Baltimore Civic Center"
"May 28, 1977","Hartford Civic Center"
"June 4, 1977","The Forum"
"June 7, 1977","Winterland Arena"
"June 8, 1977","Winterland Arena"
"June 9, 1977","Winterland Arena"
"September 3, 1977","Raceway Park"
"September 28, 1977","Paramount Northwest Theatre"
"September 29, 1977","Paramount Northwest Theatre"
"October 1, 1977","Paramount Theater"
"October 2, 1977","Paramount Theater"
"October 6, 1977","Activity Center"
"October 7, 1977","University of New Mexico"
"October 9, 1977","McNichols Sports Arena"
"October 11, 1977","Lloyd Noble Center"
"October 12, 1977","Manor Downs"
"October 14, 1977","Hofheinz Pavilion"
"October 15, 1977","Moody Coliseum"
"October 16, 1977","Assembly Center"
"October 28, 1977","Soldiers & Sailors Memorial Hall"
"October 29, 1977","Evans Field House"
"October 30, 1977","Assembly Hall"
"November 1, 1977","Cobo Arena"
"November 2, 1977","Field House"
"November 4, 1977","Cotterell Gym"
"November 5, 1977","Community War Memorial"
"November 6, 1977","Broome County Arena"
"December 27, 1977","Winterland Arena"
"December 29, 1977","Winterland Arena"
"December 30, 1977","Winterland Arena"
"December 31, 1977","Winterland Arena"
"January 6, 1978","Swing Auditorium"
"January 7, 1978","Golden Hall"
"January 8, 1978","Golden Hall"
"January 10, 1978","Shrine Auditorium"
"January 11, 1978","Shrine Auditorium"
"January 13, 1978","Arlington Theater"
"January 14, 1978","Bakersfield Memorial Auditorium"
"January 15, 1978","Selland Arena"
"January 17, 1978","Sacramento Memorial Auditorium"
"January 18, 1978","Stockton Civic Auditorium"
"January 22, 1978","McArthur Court"
"January 30, 1978","Uptown Theatre"
"January 31, 1978","Uptown Theatre"
"February 1, 1978","Uptown Theatre"
"February 3, 1978","Dane County Coliseum"
"February 4, 1978","Milwaukee Auditorium"
"February 5, 1978","Uni-Dome"
"April 6, 1978","Curtis Hixon Convention Hall"
"April 7, 1978","Sportatorium"
"April 8, 1978","Veteran""s Memorial Coliseum"
"April 10, 1978","Fox Theatre"
"April 11, 1978","Fox Theatre"
"April 12, 1978","Cameron Indoor Stadium"
"April 14, 1978","Cassell Coliseum"
"April 15, 1978","College Of William and Mary"
"April 16, 1978","Huntington Civic Center"
"April 18, 1978","Pittsburgh Civic Arena"
"April 19, 1978","Veterans Memorial Hall"
"April 21, 1978","Rupp Arena"
"April 22, 1978","Nashville Municipal Auditorium"
"April 24, 1978","Horton Field House"
"May 5, 1978","Thompson Arena"
"May 6, 1978","Patrick Gym"
"May 7, 1978","Field House"
"May 9, 1978","Onondaga County War Memorial"
"May 10, 1978","Veterans Memorial Coliseum"
"May 11, 1978","Springfield Civic Center Arena"
"May 13, 1978","The Spectrum"
"May 14, 1978","Providence Civic Center"
"May 16, 1978","Uptown Theatre"
"May 17, 1978","Uptown Theatre"
"June 4, 1978","Campus Stadium"
"June 25, 1978","Autzen Stadium"
"July 1, 1978","Arrowhead Stadium"
"July 3, 1978","St. Paul Civic Center Arena"
"July 5, 1978","Omaha Civic Auditorium"
"July 7, 1978","Red Rocks Amphitheatre"
"July 8, 1978","Red Rocks Amphitheatre"
"August 30, 1978","Red Rocks Amphitheatre"
"August 31, 1978","Red Rocks Amphitheatre"
"September 2, 1978","Giants Stadium"
"September 14, 1978","Gizah Sound and Light Theater"
"September 15, 1978","Gizah Sound and Light Theater"
"September 16, 1978","Gizah Sound and Light Theater"
"October 17, 1978","Winterland Arena"
"October 18, 1978","Winterland Arena"
"October 20, 1978","Winterland Arena"
"October 21, 1978","Winterland Arena"
"October 22, 1978","Winterland Arena"
"November 11, 1978","NBC Studios"
"November 13, 1978","Boston Music Hall"
"November 14, 1978","Boston Music Hall"
"November 16, 1978","Uptown Theatre"
"November 17, 1978","Loyola College"
"November 17, 1978","Uptown Theatre"
"November 18, 1978","Uptown Theatre"
"November 20, 1978","Cleveland Music Hall"
"November 21, 1978","Community War Memorial"
"November 23, 1978","Capital Centre"
"November 24, 1978","Capitol Theatre"
"December 12, 1978","Jai-Alai Fronton"
"December 13, 1978","Curtis Hixon Convention Hall"
"December 15, 1978","Boutwell Auditorium"
"December 16, 1978","Nashville Municipal Auditorium"
"December 17, 1978","Fox Theatre"
"December 19, 1978","Memorial Coliseum"
"December 21, 1978","The Summit"
"December 22, 1978","Dallas Convention Center Arena"
"December 27, 1978","Golden Hall"
"December 28, 1978","Golden Hall"
"December 30, 1978","Pauley Pavilion"
"December 31, 1978","Winterland Arena"
"January 5, 1979","The Spectrum"
"January 7, 1979","Madison Square Garden"
"January 8, 1979","Madison Square Garden"
"January 10, 1979","Nassau Veterans Memorial Coliseum"
"January 11, 1979","Nassau Veterans Memorial Coliseum"
"January 12, 1979","The Spectrum"
"January 14, 1979","Utica Memorial Auditorium"
"January 15, 1979","Springfield Civic Center Arena"
"January 17, 1979","Veterans Memorial Coliseum"
"January 18, 1979","Providence Civic Center"
"January 20, 1979","Shea""s Buffalo Theatre"
"January 21, 1979","Masonic Temple"
"February 3, 1979","Market Square Arena"
"February 4, 1979","Dane County Coliseum"
"February 6, 1979","Tulsa Fairgrounds Pavilion"
"February 7, 1979","SIU Arena"
"February 9, 1979","Soldiers & Sailors Memorial Hall"
"February 10, 1979","Soldiers & Sailors Memorial Hall"
"February 11, 1979","Kiel Auditorium"
"February 17, 1979","Oakland Coliseum Arena"
"April 22, 1979","Spartan Stadium"
"May 3, 1979","Charlotte Coliseum"
"May 4, 1979","Hampton Coliseum"
"May 5, 1979","Baltimore Civic Center"
"May 7, 1979","Kirby Fieldhouse"
"May 8, 1979","Recreation Hall"
"May 9, 1979","Broome County Arena"
"May 11, 1979","Billerica Forum"
"May 12, 1979","Alumni Stadium"
"May 13, 1979","Cumberland County Civic Center"
"June 28, 1979","Sacramento Memorial Auditorium"
"June 30, 1979","Portland International Raceway"
"July 1, 1979","Seattle Center Coliseum"
"August 4, 1979","Oakland Auditorium Arena"
"August 5, 1979","Oakland Auditorium Arena"
"August 12, 1979","Red Rocks Amphitheatre"
"August 13, 1979","McNichols Sports Arena"
"August 14, 1979","McNichols Sports Arena"
"August 31, 1979","Glens Falls Civic Center"
"September 1, 1979","Holleder Memorial Stadium"
"September 2, 1979","Augusta Civic Center"
"September 4, 1979","Madison Square Garden"
"September 5, 1979","Madison Square Garden"
"September 6, 1979","Madison Square Garden"
"October 24, 1979","Springfield Civic Center Arena"
"October 25, 1979","Veterans Memorial Coliseum"
"October 27, 1979","Cape Cod Coliseum"
"October 28, 1979","Cape Cod Coliseum"
"October 31, 1979","Nassau Veterans Memorial Coliseum"
"November 1, 1979","Nassau Veterans Memorial Coliseum"
"November 2, 1979","Nassau Veterans Memorial Coliseum"
"November 4, 1979","Providence Civic Center"
"November 5, 1979","The Spectrum"
"November 6, 1979","The Spectrum"
"November 8, 1979","Capital Centre"
"November 9, 1979","War Memorial Auditorium"
"November 10, 1979","Crisler Arena"
"November 23, 1979","Golden Hall"
"November 24, 1979","Golden Hall"
"November 25, 1979","Pauley Pavilion"
"November 29, 1979","Cleveland Public Hall"
"November 30, 1979","Stanley Theatre"
"December 1, 1979","Stanley Theatre"
"December 3, 1979","Uptown Theatre"
"December 4, 1979","Uptown Theatre"
"December 5, 1979","Uptown Theatre"
"December 7, 1979","Indiana Convention Center"
"December 9, 1979","Kiel Auditorium"
"December 10, 1979","Soldiers & Sailors Memorial Hall"
"December 11, 1979","Soldiers & Sailors Memorial Hall"
"December 26, 1979","Oakland Auditorium Arena"
"December 27, 1979","Oakland Auditorium Arena"
"December 28, 1979","Oakland Auditorium Arena"
"December 30, 1979","Oakland Auditorium Arena"
"December 31, 1979","Oakland Auditorium Arena"
"January 13, 1980","Oakland Coliseum Arena"
"March 30, 1980","Capitol Theatre"
"March 31, 1980","Capitol Theatre"
"April 1, 1980","Capitol Theatre"
"April 28, 1980","Boutwell Auditorium"
"April 29, 1980","Fox Theatre"
"May 1, 1980","Greensboro Coliseum"
"May 2, 1980","Hampton Coliseum"
"May 4, 1980","Baltimore Civic Center"
"May 6, 1980","Recreation Hall"
"May 7, 1980","Barton Hall"
"May 7, 1980","Barton Hall"
"May 8, 1980","Glens Falls Civic Center"
"May 10, 1980","Hartford Civic Center"
"May 11, 1980","Cumberland County Civic Center"
"May 12, 1980","Boston Garden"
"May 14, 1980","Nassau Veterans Memorial Coliseum"
"May 15, 1980","Nassau Veterans Memorial Coliseum"
"May 16, 1980","Nassau Veterans Memorial Coliseum"
"May 29, 1980","Des Moines Civic Center"
"May 30, 1980","Milwaukee Auditorium"
"May 31, 1980","Metropolitan Center"
"June 5, 1980","Compton Terrace Amphitheatre"
"June 7, 1980","Folsom Field"
"June 8, 1980","Folsom Field"
"June 12, 1980","Portland Memorial Coliseum"
"June 13, 1980","Seattle Center Coliseum"
"June 14, 1980","Spokane Coliseum"
"June 19, 1980","West High Auditorium"
"June 20, 1980","West High Auditorium"
"June 21, 1980","West High Auditorium"
"June 29, 1980","Pauley Pavilion"
"July 1, 1980","San Diego Sports Arena"
"August 16, 1980","Mississippi River Festival"
"August 17, 1980","Kansas City Municipal Auditorium Arena"
"August 19, 1980","Uptown Theatre"
"August 20, 1980","Uptown Theatre"
"August 21, 1980","Uptown Theatre"
"August 23, 1980","Alpine Valley Music Theatre"
"August 24, 1980","Grand Center"
"August 26, 1980","Cleveland Public Hall"
"August 27, 1980","Pine Knob Music Theatre"
"August 29, 1980","The Spectrum"
"August 30, 1980","The Spectrum"
"August 31, 1980","Capital Centre"
"September 2, 1980","Community War Memorial"
"September 3, 1980","Springfield Civic Center Arena"
"September 4, 1980","Providence Civic Center"
"September 6, 1980","State Fairgrounds"
"September 25, 1980","Warfield Theater"
"September 26, 1980","Warfield Theater"
"September 27, 1980","Warfield Theater"
"September 29, 1980","Warfield Theater"
"September 30, 1980","Warfield Theater"
"October 2, 1980","Warfield Theater"
"October 3, 1980","Warfield Theater"
"October 4, 1980","Warfield Theater"
"October 6, 1980","Warfield Theater"
"October 7, 1980","Warfield Theater"
"October 9, 1980","Warfield Theater"
"October 10, 1980","Warfield Theater"
"October 11, 1980","Warfield Theater"
"October 13, 1980","Warfield Theater"
"October 14, 1980","Warfield Theater"
"October 18, 1980","Saenger Performing Arts Center"
"October 19, 1980","Saenger Performing Arts Center"
"October 22, 1980","Radio City Music Hall"
"October 23, 1980","Radio City Music Hall"
"October 25, 1980","Radio City Music Hall"
"October 26, 1980","Radio City Music Hall"
"October 27, 1980","Radio City Music Hall"
"October 29, 1980","Radio City Music Hall"
"October 30, 1980","Radio City Music Hall"
"October 31, 1980","Radio City Music Hall"
"November 26, 1980","Sportatorium"
"November 28, 1980","Lakeland Civic Center Arena"
"November 29, 1980","Alligator Alley Gym"
"November 30, 1980","Fox Theatre"
"December 6, 1980","Recreation Center"
"December 12, 1980","Swing Auditorium"
"December 13, 1980","Long Beach Arena"
"December 14, 1980","Long Beach Arena"
"December 26, 1980","Oakland Auditorium Arena"
"December 27, 1980","Oakland Auditorium Arena"
"December 28, 1980","Oakland Auditorium Arena"
"December 30, 1980","Oakland Auditorium Arena"
"December 31, 1980","Oakland Auditorium Arena"
"February 26, 1981","Uptown Theatre"
"February 27, 1981","Uptown Theatre"
"February 28, 1981","Uptown Theatre"
"March 2, 1981","Cleveland Music Hall"
"March 3, 1981","Cleveland Music Hall"
"March 5, 1981","Stanley Theatre"
"March 6, 1981","Stanley Theatre"
"March 7, 1981","Cole Field House"
"March 9, 1981","Madison Square Garden"
"March 10, 1981","Madison Square Garden"
"March 12, 1981","Boston Garden"
"March 13, 1981","Utica Memorial Auditorium"
"March 14, 1981","Hartford Civic Center"
"March 20, 1981","Rainbow Theater"
"March 21, 1981","Rainbow Theater"
"March 23, 1981","Rainbow Theater"
"March 24, 1981","Rainbow Theater"
"March 28, 1981","Grugahalle"
"April 30, 1981","Greensboro Coliseum"
"May 1, 1981","Hampton Coliseum"
"May 1, 1981","Hampton Coliseum"
"May 2, 1981","The Spectrum"
"May 4, 1981","The Spectrum"
"May 5, 1981","Glens Falls Civic Center"
"May 6, 1981","Nassau Veterans Memorial Coliseum"
"May 7, 1981","NBC Studios"
"May 8, 1981","Nassau Veterans Memorial Coliseum"
"May 9, 1981","Nassau Veterans Memorial Coliseum"
"May 11, 1981","Veterans Memorial Coliseum"
"May 12, 1981","Veterans Memorial Coliseum"
"May 13, 1981","Providence Civic Center"
"May 15, 1981","Rutgers Athletic Center"
"May 16, 1981","Barton Hall"
"May 17, 1981","Onondaga County War Memorial"
"May 22, 1981","Warfield Theater"
"July 2, 1981","The Summit"
"July 4, 1981","Manor Downs"
"July 5, 1981","Zoo Amphitheatre"
"July 7, 1981","Kansas City Municipal Auditorium Arena"
"July 8, 1981","Kiel Auditorium"
"July 10, 1981","St. Paul Civic Center Arena"
"July 11, 1981","Alpine Valley Music Theatre"
"July 13, 1981","McNichols Sports Arena"
"July 14, 1981","McNichols Sports Arena"
"August 12, 1981","Salt Palace"
"August 14, 1981","Seattle Center Memorial Stadium"
"August 15, 1981","Portland Memorial Coliseum"
"August 16, 1981","McArthur Court"
"August 27, 1981","Long Beach Arena"
"August 28, 1981","Long Beach Arena"
"August 30, 1981","Compton Terrace Amphitheatre"
"August 31, 1981","Aladdin Theatre"
"September 11, 1981","Greek Theatre"
"September 12, 1981","Greek Theatre"
"September 13, 1981","Greek Theatre"
"September 25, 1981","Stabler Arena"
"September 26, 1981","War Memorial Auditorium"
"September 27, 1981","Capital Centre"
"September 30, 1981","The Playhouse"
"October 2, 1981","Rainbow Theater"
"October 3, 1981","Rainbow Theater"
"October 4, 1981","Rainbow Theater"
"October 6, 1981","Rainbow Theater"
"October 8, 1981","The Forum Theater"
"October 10, 1981","Stadthalle IV"
"October 11, 1981","Club Melk Weg"
"October 12, 1981","Olympiahalle"
"October 13, 1981","Walter Koebel Halle"
"October 15, 1981","Melk Weg"
"October 16, 1981","Melk Weg"
"October 17, 1981","The Hippodrome"
"October 19, 1981","Sports Palace"
"November 29, 1981","Pittsburgh Civic Arena"
"November 30, 1981","Hara Arena"
"December 2, 1981","Assembly Hall"
"December 3, 1981","Dane County Coliseum"
"December 5, 1981","Market Square Arena"
"December 6, 1981","Rosemont Horizon"
"December 7, 1981","Des Moines Civic Center"
"December 9, 1981","Events Center"
"December 12, 1981","Fiesta Hall"
"December 26, 1981","Oakland Auditorium Arena"
"December 27, 1981","Oakland Auditorium Arena"
"December 28, 1981","Oakland Auditorium Arena"
"December 30, 1981","Oakland Auditorium Arena"
"December 31, 1981","Oakland Auditorium Arena"
"February 16, 1982","Warfield Theater"
"February 17, 1982","Warfield Theater"
"February 19, 1982","Golden Hall"
"February 20, 1982","Golden Hall"
"February 21, 1982","Pauley Pavilion"
"March 13, 1982","Centennial Coliseum"
"March 14, 1982","Recreational Hall"
"April 2, 1982","Cameron Indoor Stadium"
"April 3, 1982","The Scope"
"April 5, 1982","The Spectrum"
"April 6, 1982","The Spectrum"
"April 8, 1982","Onondaga County War Memorial"
"April 9, 1982","Community War Memorial"
"April 11, 1982","Nassau Veterans Memorial Coliseum"
"April 12, 1982","Nassau Veterans Memorial Coliseum"
"April 14, 1982","Glens Falls Civic Center"
"April 14, 1982","Glens Falls Civic Center"
"April 15, 1982","Providence Civic Center"
"April 17, 1982","Hartford Civic Center"
"April 18, 1982","Hartford Civic Center"
"April 19, 1982","Baltimore Civic Center"
"May 21, 1982","Greek Theatre"
"May 22, 1982","Greek Theatre"
"May 23, 1982","Greek Theatre"
"May 28, 1982","Moscone Convention Center"
"June 27, 1982","Red Rocks Amphitheatre"
"July 17, 1982","County Fairgrounds"
"July 18, 1982","County Fairgrounds"
"July 25, 1982","Compton Terrace Amphitheatre"
"July 27, 1982","Red Rocks Amphitheatre"
"July 28, 1982","Red Rocks Amphitheatre"
"July 29, 1982","Red Rocks Amphitheatre"
"July 31, 1982","Manor Downs"
"August 1, 1982","Zoo Amphitheatre"
"August 3, 1982","Starlight Theatre"
"August 4, 1982","Kiel Auditorium"
"August 6, 1982","St. Paul Civic Center Arena"
"August 7, 1982","Alpine Valley Music Theatre"
"August 8, 1982","Alpine Valley Music Theatre"
"August 10, 1982","Fieldhouse"
"August 28, 1982","Oregon Country Fair Site"
"August 29, 1982","Seattle Center Memorial Stadium"
"August 29, 1982","Seattle Center Memorial Stadium"
"September 5, 1982","Glen Helen Regional Park"
"September 9, 1982","Saenger Performing Arts Center"
"September 11, 1982","West Palm Beach Auditorium"
"September 12, 1982","Lakeland Civic Center Arena"
"September 14, 1982","University of Virginia"
"September 15, 1982","Capital Centre"
"September 17, 1982","Cumberland County Civic Center"
"September 18, 1982","Boston Garden"
"September 20, 1982","Madison Square Garden"
"September 21, 1982","Madison Square Garden"
"September 23, 1982","Veterans Memorial Coliseum"
"September 24, 1982","Carrier Dome"
"October 9, 1982","Frost Amphitheatre"
"October 9, 1982","Frost Amphitheatre"
"October 10, 1982","Frost Amphitheatre"
"October 17, 1982","Downs of Santa Fe"
"November 25, 1982","Montego Bay"
"November 26, 1982","Bob Marley Performing Arts Center"
"December 26, 1982","Oakland Auditorium Arena"
"December 27, 1982","Oakland Auditorium Arena"
"December 28, 1982","Oakland Auditorium Arena"
"December 30, 1982","Oakland Auditorium Arena"
"December 31, 1982","Oakland Auditorium Arena"
"March 25, 1983","Compton Terrace Amphitheatre"
"March 26, 1983","Aladdin Theatre"
"March 27, 1983","Irvine Meadows Amphitheatre"
"March 29, 1983","Warfield Theater"
"March 30, 1983","Warfield Theater"
"March 31, 1983","Warfield Theater"
"April 9, 1983","Hampton Coliseum"
"April 10, 1983","Coliseum"
"April 12, 1983","Broome County Arena"
"April 13, 1983","Patrick Gym"
"April 14, 1983","Greek Theatre"
"April 15, 1983","Community War Memorial"
"April 16, 1983","Meadowlands Arena"
"April 17, 1983","Meadowlands Arena"
"April 19, 1983","Alfond Arena"
"April 20, 1983","Providence Civic Center"
"April 22, 1983","Veterans Memorial Coliseum"
"April 23, 1983","Veterans Memorial Coliseum"
"April 25, 1983","The Spectrum"
"April 26, 1983","The Spectrum"
"May 13, 1983","Greek Theatre"
"May 14, 1983","Greek Theatre"
"May 15, 1983","Greek Theatre"
"June 18, 1983","Saratoga Performing Arts Center"
"June 20, 1983","Merriweather Post Pavilion"
"June 21, 1983","Merriweather Post Pavilion"
"June 22, 1983","City Island"
"June 24, 1983","Dane County Coliseum"
"June 25, 1983","St. Paul Civic Center Arena"
"June 27, 1983","Poplar Creek Music Theatre"
"June 28, 1983","Poplar Creek Music Theatre"
"July 30, 1983","County Fairgrounds"
"July 31, 1983","County Fairgrounds"
"August 20, 1983","Frost Amphitheatre"
"August 21, 1983","Frost Amphitheatre"
"August 26, 1983","Portland Memorial Coliseum"
"August 27, 1983","Seattle Center Memorial Stadium"
"August 29, 1983","Silva Hall"
"August 30, 1983","Silva Hall"
"August 31, 1983","Silva Hall"
"September 2, 1983","BSU Pavilion"
"September 4, 1983","Park West Ski Resort"
"September 6, 1983","Red Rocks Amphitheatre"
"September 7, 1983","Red Rocks Amphitheatre"
"September 8, 1983","Red Rocks Amphitheatre"
"September 10, 1983","Downs of Santa Fe"
"September 11, 1983","Downs of Santa Fe"
"September 13, 1983","Manor Downs"
"September 18, 1983","Nevada County Fairgrounds"
"September 24, 1983","Santa Cruz County Fairgrounds"
"October 8, 1983","Richmond Coliseum"
"October 9, 1983","Greensboro Coliseum"
"October 11, 1983","Madison Square Garden"
"October 12, 1983","Madison Square Garden"
"October 14, 1983","Hartford Civic Center"
"October 15, 1983","Hartford Civic Center"
"October 17, 1983","Olympic Center"
"October 18, 1983","Cumberland County Civic Center"
"October 20, 1983","The Centrum"
"October 21, 1983","The Centrum"
"October 22, 1983","Carrier Dome"
"October 30, 1983","Marin County Veterans Auditorium"
"October 31, 1983","Marin County Veterans Auditorium"
"December 27, 1983","San Francisco Civic Auditorium"
"December 28, 1983","San Francisco Civic Auditorium"
"April 30, 1984","San Francisco Civic Auditorium"
"May 6, 1984","San Francisco Civic Auditorium"
"May 7, 1984","Marin County Veterans Auditorium"
"May 8, 1984","Marin County Veterans Auditorium"
"June 8, 1984","Marin County Veterans Auditorium"
"June 9, 1984","Marin County Veterans Auditorium"
"June 10, 1984","Aladdin Theatre"
"June 12, 1984","Irvine Meadows Amphitheatre"
"June 13, 1984","Hampton Coliseum"
"June 14, 1984","Hampton Coliseum"
"June 21, 1984","Community War Memorial"
"June 23, 1984","Niagara Falls Civic Center"
"June 24, 1984","Civic Convention Hall Auditorium"
"June 26, 1984","Civic Convention Hall Auditorium"
"June 27, 1984","Civic Convention Hall Auditorium"
"June 29, 1984","Veterans Memorial Coliseum"
"June 30, 1984","Veterans Memorial Coliseum"
"July 1, 1984","Providence Civic Center"
"July 3, 1984","Providence Civic Center"
"July 4, 1984","Nassau Veterans Memorial Coliseum"
"December 30, 1983","Nassau Veterans Memorial Coliseum"
"December 31, 1983","Silva Hall"
"March 28, 1984","Silva Hall"
"March 29, 1984","Silva Hall"
"March 31, 1984","Cal Expo Amphitheatre"
"April 1, 1984","California Exposition Amphitheater"
"April 6, 1984","Cal Expo Amphitheatre"
"April 7, 1984","Red Rocks Amphitheatre"
"April 13, 1984","Red Rocks Amphitheatre"
"April 14, 1984","Red Rocks Amphitheatre"
"April 16, 1984","Kingswood Music Theatre"
"April 17, 1984","City Island"
"April 19, 1984","Saratoga Performing Arts Center"
"April 20, 1984","Merriweather Post Pavilion"
"April 21, 1984","Merriweather Post Pavilion"
"April 23, 1984","Blossom Music Center"
"April 24, 1984","Indianapolis Sports Center"
"April 26, 1984","Pine Knob Music Theatre"
"April 27, 1984","Starlight Theatre"
"April 29, 1984","Five Seasons Center"
"July 6, 1984","Alpine Valley Music Theatre"
"July 7, 1984","Alpine Valley Music Theatre"
"July 13, 1984","Greek Theatre"
"July 14, 1984","Greek Theatre"
"July 15, 1984","Greek Theatre"
"July 21, 1984","County Fairgrounds"
"July 22, 1984","County Fairgrounds"
"October 5, 1984","Charlotte Coliseum"
"October 6, 1984","Richmond Coliseum"
"October 8, 1984","The Centrum"
"October 9, 1984","The Centrum"
"October 11, 1984","Augusta Civic Center"
"October 12, 1984","Augusta Civic Center"
"October 14, 1984","Hartford Civic Center"
"October 15, 1984","Hartford Civic Center"
"October 17, 1984","Meadowlands Arena"
"October 18, 1984","Meadowlands Arena"
"October 20, 1984","Carrier Dome"
"October 27, 1984","Berkeley Community Theatre"
"October 28, 1984","Berkeley Community Theatre"
"October 30, 1984","Berkeley Community Theatre"
"October 31, 1984","Berkeley Community Theatre"
"November 2, 1984","Berkeley Community Theatre"
"November 3, 1984","Berkeley Community Theatre"
"December 28, 1984","San Francisco Civic Auditorium"
"December 29, 1984","San Francisco Civic Auditorium"
"December 31, 1984","San Francisco Civic Auditorium"
"February 18, 1985","Henry J. Kaiser Convention Center"
"February 19, 1985","Henry J. Kaiser Convention Center"
"February 20, 1985","Henry J. Kaiser Convention Center"
"March 9, 1985","Berkeley Community Theatre"
"March 10, 1985","Berkeley Community Theatre"
"March 12, 1985","Berkeley Community Theatre"
"March 13, 1985","Berkeley Community Theatre"
"March 21, 1985","Hampton Coliseum"
"March 22, 1985","Hampton Coliseum"
"March 24, 1985","Springfield Civic Center Arena"
"March 25, 1985","Springfield Civic Center Arena"
"March 27, 1985","Nassau Veterans Memorial Coliseum"
"March 28, 1985","Nassau Veterans Memorial Coliseum"
"March 29, 1985","Nassau Veterans Memorial Coliseum"
"March 31, 1985","Cumberland County Civic Center"
"April 1, 1985","Cumberland County Civic Center"
"April 3, 1985","Providence Civic Center"
"April 4, 1985","Providence Civic Center"
"April 6, 1985","The Spectrum"
"April 7, 1985","The Spectrum"
"April 8, 1985","The Spectrum"
"April 13, 1985","Irvine Meadows Amphitheatre"
"April 14, 1985","Irvine Meadows Amphitheatre"
"April 27, 1985","Frost Amphitheatre"
"April 28, 1985","Frost Amphitheatre"
"June 14, 1985","Greek Theatre"
"June 15, 1985","Greek Theatre"
"June 16, 1985","Greek Theatre"
"June 21, 1985","Alpine Valley Music Theatre"
"June 22, 1985","Alpine Valley Music Theatre"
"June 24, 1985","River Bend Music Center"
"June 25, 1985","Blossom Music Center"
"June 27, 1985","Saratoga Performing Arts Center"
"June 28, 1985","Hershey Park Stadium"
"June 30, 1985","Merriweather Post Pavilion"
"July 1, 1985","Merriweather Post Pavilion"
"July 2, 1985","Pittsburgh Civic Arena"
"July 13, 1985","County Fairgrounds"
"July 14, 1985","County Fairgrounds"
"August 24, 1985","Boreal Ridge Ski Resort"
"August 30, 1985","Southern Star Amphitheatre"
"August 31, 1985","Manor Downs"
"September 2, 1985","Zoo Amphitheatre"
"September 3, 1985","Starlight Theatre"
"September 5, 1985","Red Rocks Amphitheatre"
"September 6, 1985","Red Rocks Amphitheatre"
"September 7, 1985","Red Rocks Amphitheatre"
"September 10, 1985","Henry J. Kaiser Convention Center"
"September 11, 1985","Henry J. Kaiser Convention Center"
"September 12, 1985","Henry J. Kaiser Convention Center"
"September 15, 1985","Devore Field"
"October 25, 1985","Sportatorium"
"October 26, 1985","Sun Dome"
"October 28, 1985","Fox Theatre"
"October 29, 1985","Fox Theatre"
"October 31, 1985","Carolina Coliseum Arena"
"November 1, 1985","Richmond Coliseum"
"November 2, 1985","Richmond Coliseum"
"November 4, 1985","The Centrum"
"November 5, 1985","The Centrum"
"November 7, 1985","Community War Memorial"
"November 8, 1985","Community War Memorial"
"November 10, 1985","Meadowlands Arena"
"November 11, 1985","Meadowlands Arena"
"November 16, 1985","Long Beach Arena"
"November 17, 1985","Long Beach Arena"
